TC_ID|Input length type|Input|Expected output|Actual output|Status|Singlish input types covered|Evidence or rationale for the input type covered
Neg_0018|M|online quiz eka 8.30PM ta close wenawa.|online quiz එක 8.30PMට close වෙනවා.|ඔන්ලිනෙ qඋඉz එක 8.30Pම් ට cලොසෙ වෙනවා.|FAIL|Inputs with time formats|Evidence: The input includes time format '8.30PM'.
Neg_0019|M|bus eka 4.15pm ta main gate eken yanawa.|bus එක 4.15pmට main gate එකෙන් යනවා.|බුස් එක 4.15ප්ම් ට මඉන් ගතෙ එකෙන් යනවා.|FAIL|Inputs with time formats|Evidence: The input includes time format '4.15pm'.
Neg_0020|M|walking track eka kilomitara 3k wage digai.|walking track එක කිලෝමීටර් 3ක් වගේ දිගයි.|wඅල්කින්ග් ට්‍රcක් එක කිලෝමීටර 3ක් වගේ දිගයි.|FAIL|Inputs with unit of measurements|Evidence: The input includes unit measurement 'kilomitara 3k'.
Neg_0021|M|water tank eka liter 500k capacity thiyenawa.|water tank එක ලීටර් 500ක් capacity තියෙනවා.|wඅටෙර් ටන්ක් එක ලිටෙර් 500ක් cඅපcඉට්‍ය් තියෙනවා.|FAIL|Inputs with unit of measurements|Evidence: The input includes unit measurement 'liter 500k'.
Neg_0022|M|machan exam rules tika nam patta strict wage.|මචං exam rules ටික නම් පට්ට strict වගේ.|මචන් එxඅම් රුලෙස් ටික නම් පට්ට ස්ට්‍රිcට් වගේ.|FAIL|Slang and casual phrasing|Evidence: The input includes slang words 'machan' and 'patta'.
Neg_0023|M|details me link eke thiyenawa: https://www.schoolnotice.lk/events|details මේ link එකේ තියෙනවා: https://www.schoolnotice.lk/events|දෙටඉල්ස් මෙ ලින්ක් එකේ තියෙනවා: හ්ට්ට්‍ප්ස්://wව්w.ස්cහොඔල්නොටිcඑ.ල්ක්/එවෙන්ට්ස්|FAIL|Online identifiers in Singlish|Evidence: The input includes a URL.
Neg_0024|M|official update eka www.examinfo.lk website eke dala thiyenawa.|official update එක www.examinfo.lk website එකේ දාලා තියෙනවා.|ඔffඉcඉඅල් උප්ඩටෙ එක wව්w.එxඅමින්fඔ.ල්ක් wඑබ්සිටෙ එකේ දාලා තියෙනවා.|FAIL|Online identifiers in Singlish|Evidence: The input includes a website address.
Neg_0025|M|class eka postpone una kiyala message eka dakka.|class එක postpone වුණා කියලා message එක දැක්කා.|cලස්ස් එක පොස්ට්පොනෙ උන කියලා මෙස්සගෙ එක දක්ක.|FAIL|Isolated English word insertions|Evidence: English words such as 'class', 'postpone', and 'message' are inserted.
Neg_0026|M|new timetable eka awilla kiyala nam happy una.|new timetable එක ඇවිල්ලා කියලා නම් happy වුණා.|නෙw ටිමෙටබ්ලෙ එක ඇවිල්ලා කියලා නම් හප්ප්‍ය් උන.|FAIL|Isolated English word insertions|Evidence: English words such as 'new', 'timetable', and 'happy' are inserted.
Neg_0027|M|O/L results gana Facebook group eke post ekak dala thibuna.|O/L results ගැන Facebook group එකේ post එකක් දාලා තිබුණා.|ඔ/ල් රෙසුල්ට්ස් ගන fඅcඑබොඔක් ග්‍රොඋප් එකේ පොස්ට් එකක් දාලා තිබුණා.|FAIL|Acronyms + platform|Evidence: The input includes acronym 'O/L' and platform 'Facebook'.
Neg_0028|M|library membership card eka renew karanna one kiyala notice aawa.|library membership card එක renew කරන්න ඕන කියලා notice ආවා.|ලිබ්‍රර්‍ය් මෙම්බෙර්ස්හිප් cඅර්ඩ් එක රෙනෙw කරන්න ඔනෙ කියලා නොටිcඑ ආවා.|FAIL|Isolated English word insertions|Evidence: English words such as 'library', 'membership', and 'card' are inserted.
Neg_0029|M|principal office eke complaint form eka ganna puluwan.|principal office එකේ complaint form එක ගන්න පුළුවන්.|ප්‍රින්cඉපල් ඔffඉcඑ එකේ cඔම්ප්ලඉන්ට් fඔර්ම් එක ගන්න පුළුවන්.|FAIL|Isolated English word insertions|Evidence: English words such as 'principal', 'office', and 'complaint form' are inserted.
Neg_0030|M|WhatsApp status eke blood camp poster eka dala thibuna.|WhatsApp status එකේ blood camp poster එක දාලා තිබුණා.|wහට්සප්ප් ස්ටටුස් එකේ බ්ලොඔඩ් cඅම්ප් පොස්ටෙර් එක දාලා තිබුණා.|FAIL|Platform/App names|Evidence: The input includes the app name 'WhatsApp'.
Neg_0031|M|Madhawa sir group leaders lata instructions dunna.|මාධව sir group leaders ලට instructions දුන්නා.|මාධව සිර් ග්‍රොඋප් ලෙඅදෙර්ස් ලට ඉන්ස්ටෘcටිඔන්ස් දුන්නා.|FAIL|Person names embedded in Singlish|Evidence: The input includes the person name 'Madhawa'.
Neg_0032|M|Ishara saha Senuri art competition ekata join una.|ඉෂාරා සහ සෙනුරි art competition එකට join වුණා.|ඉශර සහ සෙනුරි අර්ට් cඔම්පෙටිටිඔන් එකට ජොඉන් උන.|FAIL|Person names embedded in Singlish|Evidence: The input includes person names 'Ishara' and 'Senuri'.
Neg_0033|M|batch 12 eke orientation program eka hall A eke thiyenawa.|batch 12 එකේ orientation program එක hall A එකේ තියෙනවා.|බට්cහ් 12 එකේ ඔරිඑන්ටටිඔන් ප්‍රෝග්‍රෑම් එක හල්ල් අ එකේ තියෙනවා.|FAIL|Inputs with numbers and numeric values|Evidence: The input includes number '12'.
Neg_0034|M|revision eka 6:05AM ta start wenawa kiyala message aawa.|revision එක 6:05AMට start වෙනවා කියලා message ආවා.|රෙවිසිඔන් එක 6:05අම් ට ස්ටර්ට් වෙනවා කියලා මෙස්සගෙ ආවා.|FAIL|Inputs with time formats|Evidence: The input includes time format '6:05AM'.
Neg_0035|M|deadline eka 11.59pm ta close wenawa.|deadline එක 11.59pmට close වෙනවා.|දෙඅඩ්ලිනෙ එක 11.59ප්ම් ට cලොසෙ වෙනවා.|FAIL|Inputs with time formats|Evidence: The input includes time format '11.59pm'.
Neg_0036|M|selection interview eka 2026-09-03 online thiyenawa.|selection interview එක 2026-09-03 online තියෙනවා.|සෙලෙcටිඔන් ඉන්ටෙර්වියෙw එක 2026-09-03 ඔන්ලිනෙ තියෙනවා.|FAIL|Inputs with dates|Evidence: The input includes date '2026-09-03'.
Neg_0037|M|forms tika July 04 wenakan accept karanawa.|forms ටික July 04 වෙනකන් accept කරනවා.|fඔර්ම්ස් ටික ජුල්‍ය් 04 වෙනකන් අccඑප්ට් කරනවා.|FAIL|Inputs with dates|Evidence: The input includes date 'July 04'.
Neg_0038|M|new road eka meter 1200k durata hadanawa.|new road එක මීටර් 1200ක් දුරට හදනවා.|නෙw රොඅඩ් එක මෙටෙර් 1200ක් දුරට හදනවා.|FAIL|Inputs with unit of measurements|Evidence: The input includes unit measurement 'meter 1200k'.
Neg_0039|M|ado amathaka wela assignment eka submit kare na bng.|අඩෝ අමතක වෙලා assignment එක submit කරේ නෑ බං.|අදො අමතක වෙලා අස්සිග්න්මෙන්ට් එක සුබ්මිට් කරේ න බ්න්ග්.|FAIL|Slang and casual phrasing|Evidence: The input includes slang words 'ado' and 'bng'.
Neg_0040|M|kohomada yaluwe oya hndin innawada?|කොහොමද යාළුවේ ඔයා හොඳින් ඉන්නවාද?|කොහොමද යාලුවේ ඔයා හ්න්ඩින් ඉන්නවාද?|FAIL|Greetings|Evidence: The sentence is a greeting asking about well-being.
Neg_0041|M|karunakara me form eka fill karanna.|කරුණාකර මේ form එක fill කරන්න.|කරුණාකර මෙ fඔර්ම් එක fඉල්ල් කරන්න.|FAIL|Requests|Evidence: The word 'karunakara' indicates a polite request.
Neg_0042|M|mama hithanne na eka hariyai kiyala... oya mokada hithanne?|මම හිතන්නේ නෑ එක හරියයි කියලා... ඔයා මොකද හිතන්නේ?|මම හිතන්නේ න එක හරියයි කියලා... ඔයා මොකද හිතන්නේ?|FAIL|Punctuation marks|Evidence: The input uses an ellipsis to separate thoughts.
Neg_0043|M|TikTok video eka viral gihilla thibuna.|TikTok video එක viral ගිහිල්ලා තිබුණා.|ටික්ටොක් විදෙඔ එක විරල් ගිහිල්ලා තිබුණා.|FAIL|Platform/App names|Evidence: The input includes the platform name 'TikTok'.
Neg_0044|M|AI technology eka dan loku wenasak karala thiyenawa.|AI technology එක දැන් ලොකු වෙනසක් කරලා තියෙනවා.|අI තෙcහ්නොලොග්‍ය් එක දන් ලොකු වෙනසක් කරලා තියෙනවා.|FAIL|English abbreviations/acronyms|Evidence: The input includes the acronym 'AI'.
Neg_0045|M|uni eke canteen eka ada wahanawa.|uni එකේ canteen එක අද වහනවා.|උනි එකේ cඅන්ටෙඑන් එක අද වහනවා.|FAIL|English clipped forms|Evidence: 'uni' is a clipped form for university.
Neg_0046|M|Galle fort eke photoshoot ekak thiyenawa.|Galle fort එකේ photoshoot එකක් තියෙනවා.|ගල්ලෙ fඔර්ට් එකේ ප්හොටොස්හොඔට් එකක් තියෙනවා.|FAIL|Place names embedded in Singlish|Evidence: The input includes the place name 'Galle fort'.
Neg_0047|M|tharagaya 10.00 AM pamanata arambha wei.|තරගය 10.00 AM පමණට ආරම්භ වෙයි.|තරගය 10.00 අම් පමනට අරම්භ වෙයි.|FAIL|Inputs with time formats|Evidence: The input includes the time format '10.00 AM'.
Neg_0048|M|data base connection eka establish wenne na.|data base connection එක establish වෙන්නේ නැහැ.|දට බසෙ cඔන්නෙcටිඔන් එක එස්ටබ්ලිස්හ් වෙන්නේ න.|FAIL|Multi-word English phrases|Evidence: 'data base connection' and 'establish' are English terms.
Neg_0049|M|pddk inna mama check karala blnnam.|පොඩ්ඩක් ඉන්න මම check කරලා බලන්නම්.|ප්ඩ්ඩ්ක් ඉන්න මම cහෙcක් කරලා බ්ල්න්නම්.|FAIL|Romanization / spelling variants|Evidence: The words 'pddk' and 'blnnam' are shortened spelling variants.
Neg_0050|M|me file eka support karanne PDF format ekata witharai.|මේ file එක support කරන්නේ PDF format එකට විතරයි.|මෙ fඉලෙ එක සුප්පොර්ට් කරන්නේ ප්ඩ්f fඔර්මට් එකට විතරයි.|FAIL|English abbreviations/acronyms|Evidence: The input includes the acronym 'PDF'.
